	Params	Ants_porcent	Number_Iterations	Strategy_Pheromone_Method	Bests_Results	Number_times_got_best_solution
101	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2147.2	0
102	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2140.2	0
108	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2137.6	0
109	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2140.4	0
110	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2148.9	0
111	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2145.6	0
112	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2176.1	0
113	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2162.6	0
115	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2155.9	0
117	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2142.3	0
118	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2131.7	0
119	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2143.1	0
124	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2134.8	0
125	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2152.3	0
126	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2144.1	0
